,src_id,dest_id,month,time_taken
1941,1002,587,10,120.0
1942,1002,587,11,120.0
1943,1002,587,12,104.44959759923611
1948,1012,1013,1,120.0
1949,1012,1013,2,120.0
1950,1012,1013,3,105.55391432791728
1951,1012,1013,4,71.61875945537065
1952,1012,1013,5,70.0163666121113
1953,1012,1013,6,71.52897831939917
1954,1012,1013,7,70.0163666121113
1955,1012,1013,8,70.99730458221025
1956,1012,1013,9,71.183879093199
1957,1012,1013,10,71.61875945537065
1958,1012,1013,11,70.99730458221025
1959,1012,1013,12,94.20724729815639
1993,1013,1012,1,106.39664804469274
1994,1013,1012,2,108.92488954344624
1995,1013,1012,3,93.94387001477105
1996,1013,1012,4,60.0
1997,1013,1012,5,60.0
1998,1013,1012,6,60.0
1999,1013,1012,7,60.0
2000,1013,1012,8,60.0
